,person_id,t_grade,f_grade_0,f_grade_208,f_grade_219,f_grade_232,f_grade_250,f_grade_261,f_grade_271,f_grade_285,f_grade_298,f_grade_300,gf_grade_0,gf_grade_208,gf_grade_232,gf_grade_261,gf_grade_271,gf_grade_285,gf_grade_298,gf_grade_300,predictResult_1,predictResult_ex0_1,predictResult_2,predictResult_ex0_2,predictResult_3,predictResult_ex0_3,predictResult_4,predictResult_ex0_4,predictResult_5,predictResult_ex0_5,predictResult_6,predictResult_ex0_6,predictResult_7,predictResult_ex0_7,predictResult_8,predictResult_ex0_8,predictResult_9,predictResult_ex0_9,predictResult_10,predictResult_ex0_10
0,0M07001F1,C_300,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C_298,C_285,C_0,C_271,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285
1,0M07001F11,C_300,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,C_0,C_285,C_0,C_271,C_0,C_271,C_0,C_298,C_0,C_285,C_0,C_285,C_0,C_285,C_298,C_285,C_0,C_285,C_0,C_285
2,0M07001F12,C_300,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,C_0,C_285,C_0,C_271,C_0,C_219,C_0,C_298,C_0,C_285,C_0,C_285,C_0,C_285,C_298,C_285,C_0,C_285,C_0,C_285
3,0M07001F13,C_298,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,C_0,C_285,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_219,C_0,C_219
4,0M07001F131,C_298,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,C_0,C_285,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_219
5,0M07001F1311,C_285,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,C_285,C_271,C_232,C_219,C_285,C_271,C_285,C_271,C_285,C_271,C_298,C_285,C_298,C_285,C_285,C_271,C_285,C_271,C_285,C_271
6,0W07001F13111,C_0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_0,C_0,C_285,C_0,C_285,C_0,C_271,C_298,C_285,C_0,C_285,C_0,C_285,C_0,C_285
7,0M07001F13112,C_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_0,C_0,C_285,C_0,C_285,C_0,C_271,C_298,C_285,C_0,C_285,C_0,C_285,C_0,C_285
8,0M07001F13113,C_271,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_0,C_0,C_285,C_0,C_285,C_0,C_271,C_298,C_285,C_0,C_285,C_0,C_285,C_0,C_285
9,0M07001F131131,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_285
10,0M07001F131132,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
11,0W07001F13114,C_0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_271,C_0,C_285,C_0,C_285,C_0,C_285,C_0,C_285
12,0M07001F1312,C_271,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,C_0,C_219,C_0,C_219,C_0,C_261,C_0,C_219,C_0,C_271,C_0,C_219,C_0,C_219,C_0,C_219,C_0,C_271,C_0,C_271
13,0M07001F13121,C_271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
14,0M07001F131211,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
15,0W07001F131212,C_0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
16,0M07001F13122,C_250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_261,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
17,0M07001F131221,C_0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,C_0,C_271,C_0,C_285,C_0,C_219,C_0,C_285,C_0,C_261,C_0,C_271,C_0,C_219,C_0,C_285,C_0,C_285,C_0,C_285
