,person_id,t_grade,fl_grade_0,fl_grade_208,fl_grade_219,fl_grade_232,fl_grade_250,fl_grade_261,fl_grade_271,fl_grade_285,fl_grade_298,predictResult_1,predictResult_ex0_1,predictResult_2,predictResult_ex0_2,predictResult_3,predictResult_ex0_3,predictResult_4,predictResult_ex0_4,predictResult_5,predictResult_ex0_5,predictResult_6,predictResult_ex0_6,predictResult_7,predictResult_ex0_7,predictResult_8,predictResult_ex0_8,predictResult_9,predictResult_ex0_9,predictResult_10,predictResult_ex0_10
0,0M07001F1,C_300,1,0,0,0,0,0,0,0,0,C_271,C_261,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
1,0M07001F11,C_300,1,0,0,0,0,0,0,0,0,C_271,C_261,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
2,0M07001F12,C_300,1,0,0,0,0,0,0,0,0,C_271,C_261,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
3,0M07001F13,C_298,0,0,0,0,0,0,0,0,1,C_0,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_219,C_285,C_271,C_285,C_271,C_0,C_261
4,0M07001F131,C_298,0,0,0,0,0,0,1,0,0,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
5,0M07001F1311,C_285,1,0,0,0,0,0,0,0,0,C_271,C_261,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
6,0W07001F13111,C_0,1,0,0,0,0,0,0,0,0,C_271,C_261,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
7,0M07001F13112,C_271,1,0,0,0,0,0,0,0,0,C_271,C_261,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
8,0M07001F13113,C_271,0,1,0,0,0,0,0,0,0,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_0,C_271,C_285,C_271
9,0M07001F131131,C_271,0,0,0,1,0,0,0,0,0,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271,C_285,C_271
10,0M07001F131132,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
11,0W07001F13114,C_0,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
12,0M07001F1312,C_271,1,0,0,0,0,0,0,0,0,C_0,C_271,C_0,C_219,C_0,C_219,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_0,C_271,C_0,C_271
13,0M07001F13121,C_271,0,0,0,1,0,0,0,0,0,C_0,C_271,C_0,C_271,C_285,C_271,C_0,C_271,C_0,C_271,C_0,C_271,C_0,C_219,C_0,C_271,C_285,C_271,C_0,C_219
